Legislation Number,Title,Sponsor,Date of Introduction
S. 325,"A bill to amend the Alyce Spotted Bear and Walter Soboleff Commission on Native Children Act to extend the deadline for a report by the Alyce Spotted Bear and Walter Soboleff Commission on Native Children, and for other purposes.","Murkowski, Lisa [Sen.-R-AK]",02/12/2021
S. 321,Six Triple Eight' Congressional Gold Medal Act of 2021,"Moran, Jerry [Sen.-R-KS]",02/12/2021
S. 272,Congressional Budget Justification Transparency Act of 2021,"Peters, Gary C. [Sen.-D-MI]",02/08/2021
S. 270,Brown v. Board of Education National Historical Park Expansion and Redesignation Act,"Coons, Christopher A. [Sen.-D-DE]",02/08/2021
S. 233,Donna M. Doss Memorial Act of 2021,"Cornyn, John [Sen.-R-TX]",02/04/2021
S. 189,Veterans' Compensation Cost-of-Living Adjustment Act of 2021,"Thune, John [Sen.-R-SD]",02/03/2021
S. 169,ARTS Act,"Tillis, Thomas [Sen.-R-NC]",02/02/2021
S. 164,Advancing Education on Biosimilars Act of 2021,"Hassan, Margaret Wood [Sen.-D-NH]",02/02/2021
S. 144,Desert Sage Youth Wellness Center Access Improvement Act,"Feinstein, Dianne [Sen.-D-CA]",02/01/2021
S. 108,"A bill to authorize the Seminole Tribe of Florida to lease or transfer certain land, and for other purposes.","Rubio, Marco [Sen.-R-FL]",01/28/2021
S. 66,South Florida Clean Coastal Waters Act of 2021,"Rubio, Marco [Sen.-R-FL]",01/27/2021
S.J.Res. 33,A joint resolution joint resolution relating to increasing the debt limit.,"Schumer, Charles E. [Sen.-D-NY]",12/14/2021
S.J.Res. 15,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to ""National Banks and Federal Savings Associations as Lenders"".","Van Hollen, Chris [Sen.-D-MD]",03/25/2021
S.J.Res. 14,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review"".","Heinrich, Martin [Sen.-D-NM]",03/25/2021
S.J.Res. 13,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to ""Update of Commission's Conciliation Procedures"".","Murray, Patty [Sen.-D-WA]",03/23/2021
H.R. 8906,Lifespan Respite Care Reauthorization Act of 2020,"Langevin, James R. [Rep.-D-RI-2]",12/09/2020
H.R. 8900,"Further Continuing Appropriations Act, 2021, and Other Extensions Act","Lowey, Nita M. [Rep.-D-NY-17]",12/08/2020
H.R. 8810,National Landslide Preparedness Act,"DelBene, Suzan K. [Rep.-D-WA-1]",11/24/2020
H.R. 8611,"To designate the facility of the United States Postal Service located at 4755 Southeast Dixie Highway in Port Salerno, Florida, as the Joseph Bullock Post Office Building.","Mast, Brian J. [Rep.-R-FL-18]",10/16/2020
H.R. 8472,Impact Aid Coronavirus Relief Act,"Courtney, Joe [Rep.-D-CT-2]",10/01/2020
H.R. 8354,Servicemembers and Veterans Initiative Act of 2020,"Escobar, Veronica [Rep.-D-TX-16]",09/23/2020
H.R. 8337,"Continuing Appropriations Act, 2021 and Other Extensions Act","Lowey, Nita M. [Rep.-D-NY-17]",09/22/2020
H.R. 8276,To authorize the President to posthumously award the Medal of Honor to Alwyn C. Cashe for acts of valor during Operation Iraqi Freedom.,"Murphy, Stephanie N. [Rep.-D-FL-7]",09/16/2020
H.R. 8247,Veterans COMPACT Act of 2020,"Takano, Mark [Rep.-D-CA-41]",09/14/2020
H.R. 7898,"To amend the Health Information Technology for Economic and Clinical Health Act to require the Secretary of Health and Human Services to consider certain recognized security practices of covered entities and business associates when making certain determinations, and for other purposes.","Burgess, Michael C. [Rep.-R-TX-26]",07/31/2020
H.R. 7810,"To designate the facility of the United States Postal Service located at 3519 East Walnut Street in Pearland, Texas, as the Tom Reid Post Office Building.","Olson, Pete [Rep.-R-TX-22]",07/29/2020
H.R. 7502,"To designate the facility of the United States Postal Service located at 101 South 16th Street in Clarinda, Iowa, as the Jessie Field Shambaugh Post Office Building.","Axne, Cynthia [Rep.-D-IA-3]",07/09/2020
H.R. 7460,Peace Corps Commemorative Work Extension Act,"Kennedy, Joseph P., III [Rep.-D-MA-4]",07/01/2020
H.R. 7440,Hong Kong Autonomy Act,"Sherman, Brad [Rep.-D-CA-30]",07/01/2020
H.R. 7347,"To designate the medical center of the Department of Veterans Affairs in Ann Arbor, Michigan, as the Lieutenant Colonel Charles S. Kettles Department of Veterans Affairs Medical Center.","Dingell, Debbie [Rep.-D-MI-12]",06/25/2020
H.R. 7259,Patents for Humanity Program Improvement Act,"McBath, Lucy [Rep.-D-GA-6]",06/18/2020
H.R. 7105,"Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits Improvement Act of 2020","Levin, Mike [Rep.-D-CA-49]",06/04/2020
H.R. 7088,"To designate the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the Senator Jack Hill Post Office Building.","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",06/04/2020
H.R. 7010,Paycheck Protection Program Flexibility Act of 2020,"Phillips, Dean [Rep.-D-MN-3]",05/26/2020
H.R. 6535,"To deem an urban Indian organization and employees thereof to be a part of the Public Health Service for the purposes of certain claims for personal injury, and for other purposes.","Gallego, Ruben [Rep.-D-AZ-7]",04/17/2020
H.R. 6435,Combating Pandemic Scams Act of 2020,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",04/03/2020
H.R. 6418,"To designate the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the William Jack Jackson Edwards III Post Office Building.","Byrne, Bradley [Rep.-R-AL-1]",03/31/2020
H.R. 6395,"William M. (Mac) Thornberry National 
Defense Authorization Act for Fiscal Year 2021","Smith, Adam [Rep.-D-WA-9]",03/26/2020
H.R. 6322,Student Veteran Coronavirus Response Act of 2020,"Takano, Mark [Rep.-D-CA-41]",03/23/2020
H.R. 6237,PRC for Native Veterans Act,"Gallego, Ruben [Rep.-D-AZ-7]",03/12/2020
H.R. 6201,Families First Coronavirus Response Act,"Lowey, Nita M. [Rep.-D-NY-17]",03/11/2020
H.R. 6192,1921 Silver Dollar Coin Anniversary Act,"Barr, Andy [Rep.-R-KY-6]",03/11/2020
H.R. 6168,Veterans' Compensation Cost-of-Living Adjustment Act of 2020,"Luria, Elaine G. [Rep.-D-VA-2]",03/10/2020
H.R. 6161,"To designate the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the J. Howard Coble Post Office Building.","Walker, Mark [Rep.-R-NC-6]",03/09/2020
H.R. 6100,Strengthening the Opposition to Female Genital Mutilation Act of 2020,"Jackson Lee, Sheila [Rep.-D-TX-18]",03/05/2020
H.R. 6074,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020","Lowey, Nita M. [Rep.-D-NY-17]",03/04/2020
H.R. 6016,"To designate the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the Marc Lee Memorial Post Office Building.","Lesko, Debbie [Rep.-R-AZ-8]",02/28/2020
H.R. 5983,"To designate the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the Woodie Rucker-Hughes Post Office Building.","Takano, Mark [Rep.-D-CA-41]",02/26/2020
H.R. 5972,Mary Ann Shadd Cary Post Office Dedication Act,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",02/26/2020
H.R. 5954,"To designate the facility of the United States Postal Service located at 108 West Maple Street in Holly, Michigan, as the Holly Veterans Memorial Post Office.","Slotkin, Elissa [Rep.-D-MI-8]",02/25/2020
H.R. 5901,Information Technology Modernization Centers of Excellence Program Act,"Khanna, Ro [Rep.-D-CA-17]",02/13/2020
H.R. 5852,Weir Farm National Historical Park Redesignation Act,"Himes, James A. [Rep.-D-CT-4]",02/11/2020
H.R. 5671,Merchant Mariners of World War II Congressional Gold Medal Act of 2020,"Garamendi, John [Rep.-D-CA-3]",01/24/2020
H.R. 5663,Safeguarding Therapeutics Act,"Guthrie, Brett [Rep.-R-KY-2]",01/21/2020
H.R. 5597,"To designate the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the Clara Luper Post Office Building.","Horn, Kendra S. [Rep.-D-OK-5]",01/14/2020
H.R. 5472,Jimmy Carter National Historical Park Redesignation Act,"Bishop, Sanford D., Jr. [Rep.-D-GA-2]",12/18/2019
H.R. 5459,Rocky Mountain National Park Ownership Correction Act,"Neguse, Joe [Rep.-D-CO-2]",12/17/2019
H.R. 5458,Rocky Mountain National Park Boundary Modification Act,"Neguse, Joe [Rep.-D-CO-2]",12/17/2019
H.R. 5451,"To designate the facility of the United States Postal Service located at 599 East Genesse Street in Fayetteville, New York, as the George H. Bacel Post Office Building.","Katko, John [Rep.-R-NY-24]",12/17/2019
H.R. 5430,United States-Mexico-Canada Agreement Implementation Act,"Hoyer, Steny H. [Rep.-D-MD-5]",12/13/2019
H.R. 5384,"To designate the facility of the United States Postal Service located at 100 Crosby Street in Mansfield, Louisiana, as the Dr. C.O. Simpkins, Sr., Post Office.","Johnson, Mike [Rep.-R-LA-4]",12/10/2019
H.R. 5363,FUTURE Act,"Adams, Alma S. [Rep.-D-NC-12]",12/09/2019
H.R. 5317,"To designate the facility of the United States Postal Service located at 315 Addicks Howell Road in Houston, Texas, as the Deputy Sandeep Singh Dhaliwal Post Office Building.","Fletcher, Lizzie [Rep.-D-TX-7]",12/05/2019
H.R. 5307,"To designate the facility of the United States Postal Service located at 115 Nicol Avenue in Thomasville, Alabama, as the ""Postmaster Robert Ingram Post Office"".","Sewell, Terri A. [Rep.-D-AL-7]",12/05/2019
H.R. 5277,"To amend section 442 of title 18, United States Code, to exempt certain interests in mutual funds, unit investment trusts, employee benefit plans, and retirement plans from conflict of interest limitations for the Government Publishing Office.","Lofgren, Zoe [Rep.-D-CA-19]",12/03/2019
H.R. 5273,Securing America's Ports Act,"Torres Small, Xochitl [Rep.-D-NM-2]",11/26/2019
H.R. 5214,Representative Payee Fraud Prevention Act of 2019,"Tlaib, Rashida [Rep.-D-MI-13]",11/21/2019
H.R. 5126,DESCEND Act of 2020,"Graves, Garret [Rep.-R-LA-6]",11/15/2019
H.R. 5123,"To designate the facility of the United States Postal Service located at 476 East Main Street in Galesburg, Illinois, as the Senior Airman Daniel Miller Post Office Building.","Bustos, Cheri [Rep.-D-IL-17]",11/15/2019
H.R. 5062,"To designate the facility of the United States Postal Service located at 9930 Conroy Windermere Road in Windermere, Florida, as the Officer Robert German Post Office Building.","Demings, Val Butler [Rep.-D-FL-10]",11/13/2019
H.R. 5037,"To designate the facility of the United States Postal Service located at 3703 North Main Street in Farmville, North Carolina, as the Walter B. Jones, Jr. Post Office.","Murphy, Gregory [Rep.-R-NC-3]",11/12/2019
H.R. 5023,"To name the Department of Veterans Affairs community-based outpatient clinic in Youngstown, Ohio, as the Carl Nunziato VA Clinic.","Ryan, Tim [Rep.-D-OH-13]",11/08/2019
H.R. 4998,Secure and Trusted Communications Networks Act of 2019,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",11/08/2019
H.R. 4988,"To designate the facility of the United States Postal Service located at 14 Walnut Street in Bordentown, New Jersey, as the Clara Barton Post Office Building.","Kim, Andy [Rep.-D-NJ-3]",11/05/2019
H.R. 4983,"To designate the Department of Veterans Affairs community-based outpatient clinic in Gilbert, Arizona, as the Staff Sergeant Alexander W. Conrad Veterans Affairs Health Care Clinic.","Biggs, Andy [Rep.-R-AZ-5]",11/05/2019
H.R. 4981,"To designate the facility of the United States Postal Service located at 2505 Derita Avenue in Charlotte, North Carolina, as the Julius L. Chambers Civil Rights Memorial Post Office.","Adams, Alma S. [Rep.-D-NC-12]",11/05/2019
H.R. 4975,"To designate the facility of the United States Postal Service located at 1201 Sycamore Square Drive in Midlothian, Virginia, as the Dorothy Braden Bruce Post Office Building.","Spanberger, Abigail Davis [Rep.-D-VA-7]",11/01/2019
H.R. 4971,"To designate the facility of the United States Postal Service located at 15 East Market Street in Leesburg, Virginia, as the Norman Duncan Post Office Building.","Wexton, Jennifer [Rep.-D-VA-10]",10/31/2019
H.R. 4920,Department of Veterans Affairs Contracting Preference Consistency Act of 2020,"Takano, Mark [Rep.-D-CA-41]",10/30/2019
H.R. 4875,"To designate the facility of the United States Postal Service located at 2201 E. Maple Street in North Canton, Ohio, as the Lance Cpl. Stacy Annie Dryden Post Office.","Gonzalez, Anthony [Rep.-R-OH-16]",10/28/2019
H.R. 4803,Citizenship for Children of Military Members and Civil Servants Act,"Nadler, Jerrold [Rep.-D-NY-10]",10/23/2019
H.R. 4794,"To designate the facility of the United States Postal Service located at 8320 13th Avenue in Brooklyn, New York, as the Mother Frances Xavier Cabrini Post Office Building.","Rose, Max [Rep.-D-NY-11]",10/22/2019
H.R. 4785,"To designate the facility of the United States Postal Service located at 1305 U.S. Highway 90 West in Castroville, Texas, as the Lance Corporal Rhonald Dain Rairdan Post Office.","Hurd, Will [Rep.-R-TX-23]",10/22/2019
H.R. 4779,"To extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.","McMorris Rodgers, Cathy [Rep.-R-WA-5]",10/22/2019
H.R. 4771,VA Tele-Hearing Modernization Act,"Cunningham, Joe [Rep.-D-SC-1]",10/21/2019
H.R. 4761,DHS Opioid Detection Resilience Act of 2019,"Higgins, Clay [Rep.-R-LA-3]",10/18/2019
H.R. 4734,"To designate the facility of the United States Postal Service located at 171 South Maple Street in Dana, Indiana, as the Ernest Ernie T. Pyle Post Office.","Bucshon, Larry [Rep.-R-IN-8]",10/18/2019
H.R. 4725,"To designate the facility of the United States Postal Service located at 8585 Criterion Drive in Colorado Springs, Colorado, as the Chaplain (Capt.) Dale Goetz Memorial Post Office Building.","Lamborn, Doug [Rep.-R-CO-5]",10/17/2019
H.R. 4704,Advancing Research to Prevent Suicide Act,"McAdams, Ben [Rep.-D-UT-4]",10/16/2019
H.R. 4672,"To designate the facility of the United States Postal Service located at 21701 Stevens Creek Boulevard in Cupertino, California, as the Petty Officer 2nd Class (SEAL) Matthew G. Axelson Post Office Building.","Khanna, Ro [Rep.-D-CA-17]",10/15/2019
H.R. 4566,Virginia Beach Strong Act,"Luria, Elaine G. [Rep.-D-VA-2]",09/27/2019
H.R. 4508,Malala Yousafzai Scholarship Act,"Jeffries, Hakeem S. [Rep.-D-NY-8]",09/26/2019
H.R. 4378,"Continuing Appropriations Act, 2020, and Health Extenders Act of 2019","Lowey, Nita M. [Rep.-D-NY-17]",09/18/2019
H.R. 4356,Protecting Families of Fallen Servicemembers Act,"Harder, Josh [Rep.-D-CA-10]",09/17/2019
H.R. 4334,Supporting Older Americans Act of 2020,"Bonamici, Suzanne [Rep.-D-OR-1]",09/16/2019
H.R. 4285,Department of Veterans Affairs Expiring Authorities Act of 2019,"Brindisi, Anthony [Rep.-D-NY-22]",09/11/2019
H.R. 4279,"To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the Melinda Gene Piccotti Post Office.","Keller, Fred [Rep.-R-PA-12]",09/11/2019
H.R. 4258,Reauthorizing Security for Supreme Court Justices Act of 2019,"Stanton, Greg [Rep.-D-AZ-9]",09/09/2019
H.R. 4200,"To designate the facility of the United States Postal Service located at 321 South 1st Street in Montrose, Colorado, as the Sergeant David Kinterknecht Post Office.","Tipton, Scott  R. [Rep.-R-CO-3]",08/20/2019
H.R. 4183,Identifying Barriers and Best Practices Study Act,"Khanna, Ro [Rep.-D-CA-17]",08/13/2019
H.R. 4104,Negro Leagues Baseball Centennial Commemorative Coin Act,"Cleaver, Emanuel [Rep.-D-MO-5]",07/30/2019
H.R. 4044,Protect and Restore America's Estuaries Act,"Malinowski, Tom [Rep.-D-NJ-7]",07/25/2019
H.R. 4034,"To designate the facility of the United States Postal Service located at 602 Pacific Avenue in Bremerton, Washington, as the John Henry Turpin Post Office Building.","Kilmer, Derek [Rep.-D-WA-6]",07/25/2019
H.R. 4031,GLRI Act of 2019,"Joyce, David P. [Rep.-R-OH-14]",07/25/2019
H.R. 3976,"To designate the facility of the United States Postal Service located at 12711 East Jefferson Avenue in Detroit, Michigan, as the Aretha Franklin Post Office Building.","Lawrence, Brenda L. [Rep.-D-MI-14]",07/25/2019
H.R. 3889,ONDCP Technical Corrections Act of 2019,"Rouda, Harley [Rep.-D-CA-48]",07/23/2019
H.R. 3877,Bipartisan Budget Act of 2019,"Yarmuth, John A. [Rep.-D-KY-3]",07/23/2019
H.R. 3870,"To designate the facility of the United States Postal Service located at 511 West 165th Street in New York, New York, as the Normandia Maldonado Post Office Building.","Espaillat, Adriano [Rep.-D-NY-13]",07/22/2019
H.R. 3847,"To designate the facility of the United States Postal Service located at 117 West Poythress Street in Hopewell, Virginia, as the Reverend Curtis West Harris Post Office Building.","McEachin, A. Donald [Rep.-D-VA-4]",07/18/2019
H.R. 3680,"To designate the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building"".","Kustoff, David [Rep.-R-TN-8]",07/10/2019
H.R. 3589,Greg LeMond Congressional Gold Medal Act,"Thompson, Mike [Rep.-D-CA-5]",06/27/2019
H.R. 3504,Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019,"Bilirakis, Gus M. [Rep.-R-FL-12]",06/26/2019
H.R. 3465,Fallen Journalists Memorial Act,"Napolitano, Grace F. [Rep.-D-CA-32]",06/25/2019
H.R. 3401,"Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border Act, 2019","Lowey, Nita M. [Rep.-D-NY-17]",06/21/2019
